Index,Zeta
0,0.249997
1,0.264441
2,0.274442
3,0.279997
4,0.281109
5,0.277776
6,0.269998
7,0.257776
8,0.24111
9,0.219999
10,0.194444
11,0.164444
12,0.13
13,0.0911113
14,0.0477782
15,7.49985e-07
