Index,Zeta
0,0.249994
1,0.259194
2,0.266795
3,0.272795
4,0.277195
5,0.279995
6,0.281196
7,0.280796
8,0.278796
9,0.275196
10,0.269997
11,0.263197
12,0.254797
13,0.244798
14,0.233198
15,0.219998
16,0.205198
17,0.188799
18,0.170799
19,0.151199
20,0.129999
21,0.1072
22,0.0827999
23,0.0568002
24,0.0292005
25,7.49975e-07
