Index,Zeta
0,0.249992
1,0.256726
2,0.262645
3,0.267747
4,0.272033
5,0.275503
6,0.278156
7,0.279993
8,0.281014
9,0.281218
10,0.280606
11,0.279178
12,0.276933
13,0.273872
14,0.269995
15,0.265302
16,0.259792
17,0.253465
18,0.246323
19,0.238364
20,0.229589
21,0.219997
22,0.209589
23,0.198365
24,0.186324
25,0.173467
26,0.159794
27,0.145305
28,0.129999
29,0.113877
30,0.0969382
31,0.0791834
32,0.0606122
33,0.0412247
34,0.0210209
35,7.49965e-07
