Index,Zeta
0,0.249995
1,0.261246
2,0.269996
3,0.276246
4,0.279996
5,0.281247
6,0.279997
7,0.276247
8,0.269997
9,0.261248
10,0.249998
11,0.236248
12,0.219999
13,0.201249
14,0.179999
15,0.156249
16,0.13
17,0.10125
18,0.0700002
19,0.0362505
20,7.4998e-07
